date,ticker,sector,quality,value,momentum,risk,catalyst,forward_return
2025-01-31,ASML,semiconductors,88,52,72,74,61,0.031
2025-01-31,NVDA,semiconductors,92,35,84,65,74,0.052
2025-01-31,AMD,semiconductors,70,58,68,61,55,0.018
2025-01-31,TSM,semiconductors,85,64,66,72,57,0.026
2025-02-28,ASML,semiconductors,89,48,76,73,63,-0.038
2025-02-28,NVDA,semiconductors,93,31,88,62,77,-0.041
2025-02-28,AMD,semiconductors,69,61,63,60,51,0.009
2025-02-28,TSM,semiconductors,86,66,69,73,58,-0.014
2025-03-31,ASML,semiconductors,90,50,78,74,66,0.028
2025-03-31,NVDA,semiconductors,94,28,91,59,80,0.061
2025-03-31,AMD,semiconductors,71,56,70,57,52,-0.017
2025-03-31,TSM,semiconductors,87,63,72,75,60,0.034
2025-04-30,ASML,semiconductors,90,46,82,72,64,0.016
2025-04-30,NVDA,semiconductors,94,25,87,55,78,-0.036
2025-04-30,AMD,semiconductors,72,54,65,56,50,-0.011
2025-04-30,TSM,semiconductors,88,61,74,76,62,0.029
2025-05-31,ASML,semiconductors,91,49,79,73,67,0.024
2025-05-31,NVDA,semiconductors,95,27,83,57,76,0.044
2025-05-31,AMD,semiconductors,73,57,67,59,53,0.015
2025-05-31,TSM,semiconductors,88,64,71,77,63,0.019
2025-06-30,ASML,semiconductors,91,53,75,75,65,0.013
2025-06-30,NVDA,semiconductors,95,30,79,61,73,0.025
2025-06-30,AMD,semiconductors,74,60,64,62,55,0.006
2025-06-30,TSM,semiconductors,89,67,68,78,61,0.017
